fips,PST045212,PST040210,PST120212,POP010210,LND110210,POP060210
10005,203390,197145,3.2,197145,936.08,210.6
11000,632323,601723,5.1,601723,61.05,9856.5
11001,632323,601723,5.1,601723,61.05,9856.6
12000,19317568,18802690,2.7,18801310,53624.76,350.6
12001,251417,247336,1.6,247336,875.02,282.7
12003,27086,27115,-0.1,27115,585.23,46.3
12005,171903,168852,1.8,168852,758.46,222.6
12007,27049,28520,-5.2,28520,293.96,97
12009,547307,543372,0.7,543376,1015.66,535
12011,1815137,1748066,3.8,1748066,1209.79,1444.9
12013,14723,14625,0.7,14625,567.33,25.8
12015,162449,159978,1.5,159978,680.28,235.2
12017,139360,141236,-1.3,141236,581.7,242.8
12019,194345,190865,1.8,190865,604.36,315.8
12021,332427,321520,3.4,321520,1998.32,160.9
12023,67966,67532,0.6,67531,797.57,84.7
12027,34712,34862,-0.4,34862,637.06,54.7
12029,16126,16422,-1.8,16422,705.05,23.3
12031,879602,864263,1.8,864263,762.19,1133.9
12033,302715,297619,1.7,297619,656.46,453.4
12035,98359,95696,2.8,95696,485.46,197.1
12037,11686,11549,1.2,11549,534.73,21.6
12039,46528,47746,-2.6,46389,516.33,89.8
12041,16815,16939,-0.7,16939,349.68,48.4
12043,13107,12884,1.7,12884,806.01,16
12045,15718,15863,-0.9,15863,564.01,28.1
12047,14708,14799,-0.6,14799,513.79,28.8
12049,27514,27731,-0.8,27731,637.78,43.5
12051,37447,39140,-4.3,39140,1152.75,34
12053,173422,172778,0.4,172778,472.54,365.6
12055,98128,98786,-0.7,98786,1016.62,97.2
12057,1277746,1229226,3.9,1229226,1020.21,1204.9
12059,19804,19927,-0.6,19927,478.78,41.6
12061,140567,138028,1.8,138028,502.87,274.5
12063,48968,49746,-1.6,49746,917.76,54.2
12065,14256,14761,-3.4,14761,598.1,24.7
12067,8804,8870,-0.7,8870,543.41,16.3
12069,303186,297052,2.1,297052,938.38,316.6
12071,645293,618754,4.3,618754,784.51,788.7
12073,283769,275487,3,275487,666.85,413.1
12075,40025,40801,-1.9,40801,1118.21,36.5
12077,8276,8365,-1.1,8365,835.56,10
12079,18907,19226,-1.7,19224,695.95,27.6
12081,333895,322833,3.4,322833,742.93,434.5
12083,335125,331298,1.2,331298,1584.55,209.1
12085,148817,146318,1.7,146318,543.46,269.2
12086,2591035,2496457,3.8,2496435,1897.72,1315.5
12087,74809,73090,2.4,73090,983.28,74.3
12089,74629,73314,1.8,73314,648.64,113
12091,190083,180822,5.1,180822,930.25,194.4
12093,39467,39996,-1.3,39996,768.91,52
12095,1202234,1145956,4.9,1145956,903.43,1268.5
12097,287416,268685,7,268685,1327.45,202.4
12099,1356545,1320134,2.8,1320134,1969.76,670.2
12101,470391,464697,1.2,464697,746.89,622.2
12103,921319,916542,0.5,916542,273.8,3347.5
12105,616158,602095,2.3,602095,1797.84,334.9
12107,73263,74364,-1.5,74364,727.62,102.2
12109,202188,190039,6.4,190039,600.66,316.4
12111,283866,277789,2.2,277789,571.93,485.7
12113,158512,151372,4.7,151372,1011.61,149.6
12115,386147,379448,1.8,379448,555.87,682.6
12117,430838,422718,1.9,422718,309.22,1367
12119,101620,93420,8.8,93420,546.93,170.8
12121,43656,41551,5.1,41551,688.55,60.3
12123,22744,22568,0.8,22570,1043.31,21.6
12125,15212,15535,-2.1,15535,243.56,63.8
12127,496950,494597,0.5,494593,1101.03,449.2
12129,30818,30776,0.1,30776,606.42,50.8
12131,57582,55043,4.6,55043,1037.63,53
12133,24892,24896,0,24896,582.8,42.7
13000,9919945,9687663,2.4,9687653,57513.49,168.4
13001,18368,18236,0.7,18236,507.08,36
13003,8284,8382,-1.2,8375,339.38,24.7
13005,11198,11096,0.9,11096,258.58,42.9
13007,3366,3451,-2.5,3451,341.94,10.1
13009,46367,45749,1.4,45720,257.84,177.3
13011,18316,18395,-0.4,18395,232.09,79.3
13013,70169,69367,1.2,69367,160.31,432.7
13015,100661,100157,0.5,100157,459.54,217.9
13017,17538,17634,-0.5,17634,250.12,70.5
13019,19041,19286,-1.3,19286,451.9,42.7
13021,156462,155547,0.6,155547,249.76,622.8
13023,12913,13063,-1.1,13063,215.87,60.5
13025,18587,18410,1,18411,442.36,41.6
13027,15403,16243,-5.2,16243,493.05,32.9
13029,32214,30238,6.5,30233,435.97,69.3
13031,72694,70217,3.5,70217,672.81,104.4
13033,23125,23316,-0.8,23316,826.97,28.2
13035,23524,23655,-0.6,23655,184.39,128.3
13037,6504,6694,-2.8,6694,280.37,23.9
13039,51402,50513,1.8,50513,613.03,82.4
13043,11117,10998,1.1,10998,243.04,45.3
13045,111580,110615,0.9,110527,499.08,221.5
13047,65046,63940,1.7,63942,162.16,394.3
13049,13295,12171,9.2,12171,773.58,15.7
13051,276434,265133,4.3,265128,426.44,621.7
13053,13037,11267,15.7,11267,248.74,45.3
13055,25725,26015,-1.1,26015,313.34,83
13057,221315,214346,3.3,214346,421.67,508.3
13059,120266,116707,3,116714,119.2,979.1
13061,3116,3183,-2.1,3183,195.38,16.3
13063,265888,259423,2.5,259424,141.57,1832.5
13065,6718,6798,-1.2,6798,800.22,8.5
13067,707442,688076,2.8,688078,339.55,2026.4
13069,43170,42356,1.9,42356,575.1,73.7
13071,46137,45498,1.4,45498,544.15,83.6
13073,131627,124053,6.1,124053,290.09,427.6
13075,16923,17212,-1.7,17212,227.16,75.8
13077,130929,127317,2.8,127317,440.89,288.8
13079,12600,12630,-0.2,12630,324.89,38.9
13081,23606,23439,0.7,23439,272.58,86
13083,16490,16633,-0.9,16633,173.98,95.6
13085,22422,22339,0.4,22330,210.83,105.9
13087,27509,27842,-1.2,27842,597.14,46.6
13089,707089,691893,2.2,691893,267.58,2585.7
13091,21329,21797,-2.1,21796,495.89,44
13093,14318,14918,-4,14918,391.94,38.1
13095,94501,94565,-0.1,94565,328.69,287.7
13097,133971,132315,1.3,132403,200.07,661.8
13099,10594,11004,-3.7,11008,512.59,21.5
13101,3988,4034,-1.1,4034,414.89,9.7
13103,53293,52250,2,52250,477.7,109.4
13105,19684,20166,-2.4,20166,351.06,57.4
13107,22898,22598,1.3,22598,680.6,33.2
13109,10689,11001,-2.8,11000,182.85,60.2
13111,23492,23695,-0.9,23682,386.72,61.2
13113,107524,106567,0.9,106567,194.34,548.3
13115,96177,96317,-0.1,96317,509.91,188.9
13117,187928,175511,7.1,175511,224.02,783.5
13119,21894,22084,-0.9,22084,261.5,84.5
13121,977773,920583,6.2,920581,526.64,1748
13123,28190,28275,-0.3,28292,426.54,66.3
13125,3142,3082,1.9,3082,143.74,21.4
13127,81022,79626,1.8,79626,419.75,189.7
13129,55766,55186,1.1,55186,355.81,155.1
13131,25440,25012,1.7,25011,454.53,55
13133,16092,15994,0.6,15994,387.44,41.3
13135,842046,805321,4.6,805321,430.38,1871.2
13137,43520,43041,1.1,43041,276.74,155.5
13139,185416,179684,3.2,179684,392.78,457.5
13141,8996,9402,-4.3,9429,471.84,20
13143,28400,28780,-1.3,28780,282.17,102
13145,32550,32026,1.6,32024,463.87,69
13147,25518,25213,1.2,25213,232.39,108.5
13149,11633,11834,-1.7,11834,296.03,40
13151,209053,203923,2.5,203922,322.13,633
13153,146136,139911,4.4,139900,375.54,372.5
13155,9600,9538,0.7,9538,354.34,26.9
13157,60571,60485,0.1,60485,339.66,178.1
13159,13630,13900,-1.9,13900,368.17,37.8
13161,15156,15068,0.6,15068,330.74,45.6
13163,16432,16930,-2.9,16930,526.49,32.2
13165,9213,8340,10.5,8340,347.28,24
13167,9897,9980,-0.8,9980,303.01,32.9
13169,28577,28669,-0.3,28669,393.93,72.8
13171,18057,18317,-1.4,18317,183.5,99.8
13173,10400,10074,3.2,10078,185.26,54.4
13175,48041,48434,-0.8,48434,807.3,60
13177,28746,28298,1.6,28298,355.78,79.5
13179,65471,63469,3.2,63453,489.8,129.5
13181,7737,7994,-3.2,7996,210.38,38
13183,16048,14448,11.1,14464,400.29,36.1
13185,114552,109233,4.9,109233,496.07,220.2
13187,30611,29966,2.2,29966,282.93,105.9
13189,21663,21875,-1,21875,257.46,85
13191,13839,14332,-3.4,14333,424.3,33.8
13193,14263,14740,-3.2,14740,400.64,36.8
13195,27922,28120,-0.7,28120,282.31,99.6
13197,8711,8742,-0.4,8742,366,23.9
13199,21273,21992,-3.3,21992,501.22,43.9
13201,5969,6129,-2.6,6125,282.42,21.7
13205,23144,23498,-1.5,23498,512.09,45.9
13207,26637,26424,0.8,26424,395.66,66.8
13209,8913,9123,-2.3,9123,239.52,38.1
13211,17881,17868,0.1,17868,347.35,51.4
13213,39392,39628,-0.6,39628,344.47,115
13215,198413,189885,4.5,189885,216.39,877.5
13217,101505,99958,1.5,99958,272.16,367.3
13219,33619,32815,2.5,32808,184.29,178
13221,14618,14899,-1.9,14899,439.01,33.9
13223,144800,142324,1.7,142324,312.22,455.8
13225,27622,27695,-0.3,27695,150.27,184.3
13227,29268,29426,-0.5,29431,232.06,126.8
13229,18844,18758,0.5,18758,316.49,59.3
13231,17810,17869,-0.3,17869,216.09,82.7
13233,41188,41475,-0.7,41475,310.33,133.6
13235,11720,11999,-2.3,12010,249.03,48.2
13237,21198,21218,-0.1,21218,344.64,61.6
13239,2404,2513,-4.3,2513,151.24,16.6
13241,16297,16276,0.1,16276,369.99,44
13243,7327,7719,-5.1,7719,428.24,18
13245,202587,200549,1,200549,324.33,618.4
13247,85820,85215,0.7,85215,129.79,656.5
13249,4990,5010,-0.4,5010,166.91,30
13251,14202,14593,-2.7,14593,645.1,22.6
13253,8947,8729,2.5,8729,235.23,37.1
13255,63865,64073,-0.3,64073,196.47,326.1
13257,25891,26175,-1.1,26175,179.13,146.1
13259,6042,6058,-0.3,6058,458.73,13.2
13261,31554,32817,-3.8,32819,482.7,68
13263,6517,6863,-5,6865,391.39,17.5
13265,1680,1717,-2.2,1717,194.61,8.8
13267,25384,25519,-0.5,25520,479.4,53.2
13269,8420,8906,-5.5,8906,376.69,23.6
13271,16349,16500,-0.9,16500,437.3,37.7
13273,9045,9315,-2.9,9315,335.44,27.8
13275,44724,44719,0,44720,544.6,82.1
13277,41064,40122,2.3,40118,258.92,154.9
13279,27315,27223,0.3,27223,364.01,74.8
13281,10495,10471,0.2,10471,166.56,62.9
13283,6769,6885,-1.7,6885,199.44,34.5
13285,68468,67044,2.1,67044,413.99,161.9
13287,8410,8930,-5.8,8930,285.39,31.3
